0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:15:27 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:16:27 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:17:45 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:19:29 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:19:59 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:21:39 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:22:06 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:22:20 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:22:21 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:22:27 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:22:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:24:28 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:25:25 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:26:49 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:27:08 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:27:10 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 304 -
